EventName,SessionName,Track,Category,Level,Selected
PASS Summit 2011,Extended Events Deep Dive,Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),400,1
PASS Summit 2011,Getting To Know Your Indexes,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Database Design Contentious Issues - The Debate,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,Amazon RDS vs SQL Azure,SQL Azure,Regular Session (75 minutes),100,0
PASS Summit 2011,Data Transformations with SQL and SSIS,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),200,0
PASS Summit 2011,DMOs as a Shortcut for Performance Tuning,Application and Database Development,Spotlight Session (90 minutes),200,1
PASS Summit 2011,Storage and Virtualization for the DBA,Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),400,0
PASS Summit 2011,SQL Server Query Performance Tuning: Start to Finish,Application and Database Development,Pre-conference Session (7 hours),200,0
PASS Summit 2011,Using SQL Server Denali's Always On,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Service Broker: Message in a bottle,Application and Database Development,Regular Session (75 minutes),400,0
PASS Summit 2011,Troubleshooting SQL Server TempDb,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,0
PASS Summit 2011,Advanced SQL Server 2008 Troubleshooting,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,1
PASS Summit 2011,Advanced SQL Server 2008 Performance Monitoring and Troubleshooting Precon,Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),400,0
PASS Summit 2011,Consolidated BI solutions in SharePoint 2010 - part 1,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),200,0
PASS Summit 2011,Using Entity Framework with SQL Azure,Application and Database Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Make Your Voice Heard! ,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Table Vars and Temp Tables: What you NEED to Know!,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,You Inherited a Database Now What?,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,"Baseline Basics: Where to Start, What You Need",Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,1
PASS Summit 2011,Advanced T-SQL for SQL Server 2008 and Denali,Application and Database Development,Pre-conference Session (7 hours),400,1
PASS Summit 2011,Database design for mere developers ,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,Creating efficient and effective dynamic SSRS Reports..A case study,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,Troubleshooting SSRS Performance Issues,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),100,0
PASS Summit 2011,Maximizing your information return from your data mining models.,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,Latching: One Problem With Many Different Solutions,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Common Analysis Services Design Mistakes and How to Avoid Them,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,1
PASS Summit 2011,Virtualizing SQL Server: What Are You Waiting For?,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,"Triple P - PowerPivot, PowerPivot Services, and PerformancePoint",BI Client Reporting and Delivery Topics,Regular Session (75 minutes),200,0
PASS Summit 2011,Custom data graphics using Visio Services,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,"Page and Row Compression How, When, and Why",Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Transparent Data Encryption: Inside and Out,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,0
PASS Summit 2011,Page and Row Compression: Deep Dive,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,1
PASS Summit 2011,Relational Divison,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,BLITZ! The SQL - More One Hour SQL Server Takeovers,Enterprise Database Administration and Deployment,Spotlight Session (90 minutes),100,1
PASS Summit 2011,Storage Triage: Why Your Drives Are Slow,Enterprise Database Administration and Deployment,1/2 Day Sessions (3 hours),400,0
PASS Summit 2011,"Knowing the Internals, Who Needs SQL Server Anyway?",Application and Database Development,Regular Session (75 minutes),500,0
PASS Summit 2011,SQL Server for Service Providers,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Developing Re-Runnable SSIS Packages,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Should I Put Analysis Services on Top of My Teradata Data Warehouse?,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,SQL Impossible: Restoring a Table From a Full Backup,Application and Database Development,Regular Session (75 minutes),400,0
PASS Summit 2011,Building a Scale-Out SQL Server 2008 R2 Reporting Services Farm,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Data Visualization Choices: What to Use & When,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,"SQL Server automation by example: scripting, sqlio, and data presentation",Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,"SQL Server partition intro and its implications, best practices on data loading",Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Windows Failover Clustering for the DBA,Enterprise Database Administration and Deployment,1/2 Day Sessions (3 hours),300,0
PASS Summit 2011,A Deep Dive into AlwaysOn: Failover Clustering and Availability Groups,Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),400,1
PASS Summit 2011,BI Project Tales from the Trenches,"BI Architecture, Development and Administration Topics",Spotlight Session (90 minutes),300,0
PASS Summit 2011,SQL Server Waits and Queues – Your Gateway to Perf. Troubleshooting,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Disk IO: 101,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),100,0
PASS Summit 2011,"Mirroring, Hadron, Clustering, Oh My - I tour through the HA options",Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),400,0
PASS Summit 2011,From Here to There: A Survey of Data Migration Techniques,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,SQL Server Backup and Restore for the Accidental DBA,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,What's New in Manageability for Microsoft SQL Server Code-Named Denali,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Reading an Execution Plan,Application and Database Development,Spotlight Session (90 minutes),200,0
PASS Summit 2011,Where should I be Encrypting my Data,Application and Database Development,Regular Session (75 minutes),300,1
PASS Summit 2011,Baby got Backup (and Restore): an In-depth Look,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,SQL Server Database Internals,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,0
PASS Summit 2011,Consolidated BI solutions in SharePoint 2010 - part 2,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),200,0
PASS Summit 2011,Project Crescent - the new face of the analysis,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),200,0
PASS Summit 2011,Getting Started in SQL Consulting,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Reporting Services 201: From Basic To WOW!,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),200,1
PASS Summit 2011,In Depth SQL Backup and Restore with PowerShell,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Who's Responsible? The Vendor or the DBA?,Professional Development,Regular Session (75 minutes),200,1
PASS Summit 2011,Fraud Detection – Notes From the Field,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),400,0
PASS Summit 2011,Identity Mapping and De-Duplicating in Denali,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),400,0
PASS Summit 2011,Data Quality in Denali,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Mirroring: The Bare Necessities,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Manage your shop with CMS & Policy Based Management,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Bug or Feature?,Application and Database Development,Spotlight Session (90 minutes),300,1
PASS Summit 2011,It's About Time,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,NUMA for the SQL Server,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,0
PASS Summit 2011,What to log and where to log it:  Error handling for Database Developers,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,SQL Server XML 101,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,A developer’s eye view of creating efficient and effective business intelligence solutions with SQL Server Reporting Services,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,Backup and Restore 101,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Why DBA's love the Entity Framework!,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,High Availibility isn't just about High Availability,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Object-Relational Mapping,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,The Enterprise SQL Server DBA,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,SSIS Solution Framework,"BI Architecture, Development and Administration Topics",1/2 Day Sessions (3 hours),200,0
PASS Summit 2011,Querying SharePoint lists using a SSIS script component,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),200,0
PASS Summit 2011,Introduction to PerformancePoint for SQL professionals,BI Client Reporting and Delivery Topics,Pre-conference Session (7 hours),200,0
PASS Summit 2011,Help Desk to DBA in 75 Minutes,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Work/Life Balance - Just a Myth?,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Powershell for the DBA,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Deploying Visual Studio 2010 Database Projects,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,How StackOverflow.com Scales With SQL Server,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
