RegistrationID,RegDate,JobFunction,City,Region,Country,RegYear,UserGuid
40FCAE77-8220-467A-888F-0000C3D80287,4/16/2007,NULL,Appleton,WI,United States,2007,B3F09B37-0EA3-4F71-86D4-A69EFD9E0C2A
0E4C0799-E279-48E0-AD10-0038D6B4921F,5/23/2007,NULL,Charlottesville,VA,United States,2007,B816DE50-DBAB-4DE6-8EB8-3026E6D94147
D5A5D801-52A1-44FA-8040-0039A6303D8B,7/24/2007,NULL,Houston,TX,,2007,B1345521-D728-49AB-B527-63225A4C55BC
CE349E08-FBCA-4785-B2FE-008E45509406,9/7/2007,NULL,Redmond,WA,United States,2007,65342126-363D-4AB5-96ED-5CAB17DAB366
A5160578-1134-42EA-8706-009EC50574AB,8/24/2007,NULL,Colorado Springs,CO,United States,2007,NULL
CB3A3056-C7D2-448C-81BD-00C3ABCA17C4,7/10/2007,NULL,Honolulu,HI,United States,2007,FE33DA61-D623-424B-B80D-B0782E956AC2
048471CA-564A-4470-B182-00C7D90EA408,8/20/2007,NULL,Phoenix,AZ,,2007,5F17F744-B8E6-46D0-81F8-D29E01E42737
61E78DC5-DE15-4DFD-A9C5-00D2F134E2F9,8/28/2007,NULL,Denver,CO,United States,2007,EF6F5BBE-B43D-444D-9FAB-2AF7A1BEA524
D88610A6-404C-407C-BC98-00DA7EDCE5B5,9/10/2007,NULL,Lone Tree,CO,United States,2007,8F83FB94-5377-4BC4-81B0-1A05D8684AAB
F7EEE658-B960-4D4B-9D69-01459D7725F8,9/5/2007,NULL,Londonderry,NH,United States,2007,C67F7D44-0AFE-416D-BBED-80C048AE67E5
92A57866-2813-42E8-9626-021F8E1161E1,8/29/2007,NULL,Oregon City,OR,,2007,8C4DD33D-C02B-4CE3-BC44-0BE01B603219
FEB6B412-DF42-45FF-B733-0269FC814A4B,7/17/2007,NULL,Lakewood,CO,United States,2007,6E09A7BA-F093-4279-978E-AAC412A8B2BB
14CE30AF-A33A-48A6-9446-029A1F227A86,8/30/2007,NULL,Bellevue,WA,United States,2007,8CE87F4A-A5E6-4825-924F-AC7AFCF939DB
36443FF4-1EC4-4D99-97D8-02A7A85B1B38,4/11/2007,NULL,St. Paul,MN,United States,2007,F5AC6FA0-8262-4056-8A40-CE20F2DA0501
